緣份,內容
劫財,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：搶手、抬高身價、保持新鮮、外貌協會
 📍渴望的愛情：他就是要爭奪最有價值的東西，不管是抽象的愛情，你的美麗動人的外表，還是充滿慾望的未來。只要他覺得好覺得有價值的，他都想要得到。他享往追求美好的過程，也享受著得到寶物的感覺。
 遇到喜歡的人，會馬上積極地追求。根本不用猜他的心意，夠喜歡就會撲上來，主要獻欣勤；相反，如果也沒有很積極，老是常出現，就代表沒有把你看在眼內。
 
 📍如何做：你要成為他的獵物，讓他覺得你值得、你搶手、你有趣，總之就是讓他有衝動出去得到你的慾望。就算他只是跟你曖昧過一陣子，但是當有其他對手時，他也是會被激發起他爭奪的原始本能，變得緊張你。他會以為自己走漏眼，以為是自己沒發現到寶物。
 
 一：《保持身材及漂亮打扮》你越有價值，他就越覺得搶得有光彩、搶得有價值。而且，劫財的價值判斷，是來自於競爭者的出現，競爭者越多，你就判定你越值得，一定是個好情人。所以，首先外表一定打扮得要光鮮亮麗，他才注意到你的存在。
 
 二：《營造競爭者》營造自己很多人追的假象，例如假裝不好約、限動po跟異性朋友在一起、也可以跟異性朋友聯手出擊。越難得到，越要搶到底。
 
 三：《成為有價值的目標》盡量表現自己的美好的一面，再故擒於蹤，激發他的積極度。所以，千萬不要馬上答應他交往，他的火就會馬上熄滅，他就覺得太簡單了，很快新鮮感就沒了。"
食神,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：享受、美食、趣味、興趣、儀式感
 📍渴望的愛情：他期待著有這麼的一個人，能夠陪伴他一起探索生活的樂趣。他的生活樂趣就是在平凡的日子裡不經意地發現驚喜，也可以說是生活情趣，或者是儀式感。
 
 📍如何做：你帶去吃喝玩樂他最開心，不一定掏大錢去高級餐廳，也不一定要出國旅遊。但是一定要是，他有興趣的事物，他想做的事情，他期待的事情。
 
 一：《欣賞他的夢想》他會以興趣為工作，所以，你要欣賞他的工作態度，欣賞他的夢想，欣賞他的堅持。如果，你曾經反對或嘲笑過他的興趣，他一定不屑再跟你聊天，他的清高你根本不懂。如果，你真的真心地欣賞他，請拿出你的勇氣去支持他完成他的夢想。
 
 二：《發掘共同興趣》接近他的方法，最好是從興趣開始，你們可以一起發掘新事物，也可以追隨他的興趣。總之就是從興趣入手，只要找到共同興趣，話題就會源源不絕，你可能會覺得他只談興趣會很無聊，但無可否認，他當作這是他的生活情趣。如果你喜歡他，請你多做功課，有空研究一下，才能創造話題。
 
 三：《重視品味或氣氛》無論做任何事，都要讓他覺得你很有心，寧願要多做，都不要做少。請重視他的品味，在重要日子，請訂桌請他吃有格調的餐廳。送禮物，絕不馬虎，要能配上他品味的禮物，否則會被唾棄。製造浪漫，請多帶他去生活以外的空間，只有你和他，配上賞心悅目的環境，讓他好好放鬆。平常在家，也要多花心思，怖置牆壁留下你跟他的回憶，要唯美的，不突兀，符合他家格調的擺設。如果，你對這些毫無頭緒，你要多套話，一起共同完成也是浪漫的愛情。"
傷官,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：稱讚、棒場、支持、忠粉
 📍渴望的愛情：他是主角，你就是他的配角，不能太笨，不能什麼都不懂，你可以不厲害，但是要做個神隊友。在愛情裡，他習慣表現自己，他希望把最好的事情做到最好，他渴望的是得到肯定，所以你只需要在旁邊聽他的分享，肯定他的能力，他就樂此不倦。至少，他希望在你的眼裡，他就是與眾不同的存在，他就是有厲害的能力，期待著有人對他另眼相看，在你的世界裡，他就是獨一無二。
 
 📍如何做：你不聰明沒關係，你跟不上他腦袋的步伐沒關係。但是，你要學會找出答案，比他快拿出答案，比他更肯定自己找到的證據。持續下去，他不會跟你再爭下去，爭不下去，只能聽從你的，因為讓他覺得你是對的，他才會學會閉嘴。他知錯了，不要迫他道歉，反而是給他一個擁抱，說明你包容他。
 
 一：《當他的觀眾》在他表現自己的能力的同時，表達自己的愛幕也是非常的重要，不是單靠幾句讚美就能俘虜他的目光。而是，你要真誠的請教，他講的你要記住。在愛情裡，他很注重細節，所以有時候設計一些小巧思，看誰聰明看誰有心，懂得他背後的意思。所以，跟他交往不能太笨就是這個意思。他就是在期待那一位，破解他密碼的情人。
 
 二：《睜一隻眼閉一隻眼》他可能會在表現自己的同時誇大自己的能力或是經驗，但絕不能戳破他的說話技兩。適時的給予欣賞就可以了，他說的你可以只聽一半，到他真的有做到出去，你再全力去誇獎他。
 
 三：《撒嬌就會心軟》他其實也很愛面子，所以他做錯事，他會用很多的理由或藉口去掩蓋，他不見得會說謊，但是他很會轉移話題跟包裝自己的言辭。你這時候逼他認錯是不行的，你跟他一樣轉移話題，撒個嬌，他就心軟了。其實他會知錯，但你要給他下台階，他就會給好給滿回罪禮。在愛情裡，要爭的不是一句道歉跟認錯，而是雙方達成的共識，再來溝通都是最好的。"
正財,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：老實、實際、節儉持家、穩定
 📍渴望的愛情：他期待著温馨的家，伴侶一定要節儉持家，認為穩定的經濟來源，是鞏固家庭的必要因素之一。他的要求不多，就是期待伴侶跟自己一樣，都是以家庭為優先。
 
 📍如何做：他就已經在衡量你到底有沒有給他一個家的感覺，或是你能不能承擔家庭責任。他考量的位置就是你對家人的態度，平常有沒有家庭活動，以及他把你帶回家之後，他的家人對你的評價是好是壞。
 
 一：《老實賺錢》賺錢的方法有很多種，但一定要老實，不貪不騙，而且還要是你做得到的事情，不要在他面前畫大餅，講得很厲害又不去做。或是，在他面對只講賺大錢，又沒有實際的計劃，他根本看不上眼。不是代表一定要做上班族，而是有賺錢的計劃，實際的操作，有相對應的回報，有穩定的收入。
 
 二：《表現愛家》愛家的表現一定要有，例如安排週末陪伴家人，送禮物送紅包給家人，過年過節日都會跟家人一起度過。這些都能留下好印象，也會激發起，他對你的幻想，幻想著未來組織家庭的畫面。這就是他平淡又温馨的愛情故事。如果，你是追求刺激浪漫，那他給不了你，他只會給你一個安心的家。
 
 三：《節儉不奢華》節儉不是窮酸，而是花得值得、花得實在、花得滿意。例如，你想要增值自我，你選擇投資自己的腦袋，去上課也好去讀書也好，他都很欣賞，如果你學完還可以用來賺錢，絕對能加分。建議是來學八字，他欣賞你的同時，也懂得運用滿足他的胃口。"
偏財,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：得不到摸不透、花得開心、熱臉貼冷屁股、情人曖昧
 📍渴望的愛情：有著情人的互動，曖昧的挑逗，二人世界為主。不需要太黏的關係，保留愛情的神秘感，他的浪漫感覺來自於一直猜你的心思，猜對了有獎勵，猜不對沒關下次再努力。
 
 📍如何做：
 
 一：《摸不透》忽冷忽熱地對待他，時而撒嬌，時而冷淡，就是摸不透。好像有又好像沒有的感覺，還要讓他有追求的緊張感。該撒嬌的時候很撒嬌，大部分時間都是比較專注工作冷漠形。對他來說，熱臉貼冷屁股就是有追求的感覺。
 
 二：《得不到》因為得不到，他就會花各種心思去滿足你。所以，真的是越拒絕，他就越主動積極，總之要讓他覺得你難追。你的他，特別喜歡這種像貓咪的情人，把自己想像成貓咪，去對付他，一定中。貓咪個性：心情一般會顯得高儌，心情好又很會撒嬌黏人，黏完後就會自動離開。
 
 三：《要CP值好的》他離不開錢的問題，不一樣的就是花錢要花得開心。但是，同時你還要學著讓他花得開心又有賺到的感覺，就是要找高cp值的東西，不能讓他用太差、住太差，否則他覺得你這個人沒品味，配不上他。他其實很愛玩，但是他總是在花錢之前考慮值不值得的問題，不是他不捨得花，而是他還在找同一樣的東西，有沒有其他地方可以玩得更多更開心。而且，只要他愛你，基本上你任性一點說你喜歡你開心，他都會花錢，花錢是因你而值得，你開心他就開心。"
情絲（你）,內容
合局,在你的命盤中，不管伴侶是誰，你都會顯得比較在意、重視，付出卻沒有同等的回報或被愛，明明自己很投入這段感情裡，也覺得自己很好溝通，但每每都是自己受傷害，自己的喜歡好像是一廂情願的付出。這是因為，你還沒遇上跟你一樣有命盤有「合局」的人，所以你就會在每段感情中，感覺不對等，也不被愛。（沒有「合局」的人 ＝ 他不會像你一樣，同樣地付出感情在對方身上。）
害局,"在你的命盤中，你就是帶一個害局，意思是無論伴侶是誰，他都會比較不好溝通，多爭執，容易貌合神離，聚少離多，容易悲觀。他對你的表現，他很愛你寵你卻是嘴巴不好，講一些刺激挑釁你的話，也容易在吵架時各種反對，不認同你，酸言酸語。你講甚麼，他都不要，不去，不做，讓你很煩惱。你也常因為他，而把自己夾在中間，無論是發生怎樣的狀況，你們都沒辦法達成協議，他也不會退一步，只會為難你。
 
 建議，你真的要破解命盤中的夫妻害局，做「愛情療癒組合」有用，但是直接破解會比較能夠擋住他對你不好的磁場，「愛情療癒組合」是增温的催情方法。如果，不去破解，就會持續被冷暴力對待。"
一合一害,"一個很愛很投入，另一個愛理不理，交往根本是自虐，「愛的表現」就有很大的差別及相反，一方是無怨無求地付出，只想換來「被愛」的感覺，但一方則是無論在愛不愛的情況之下都呈現「嫌棄」「冷淡」的表，都會讓彼此很難受，在愛情中越來越卑微地愛。而且，越求愛，就會越放肆，吵架時會更加過份地冷暴力。彼此也不會太改變他的方式，所以，你們也會有心累的時候。
 
 所以，在你們對彼此的態度就有很大的問題，雙方對待彼此都比較冷言冷語，而不關心，也不在意對方怎麼了，自己過好自己就好。所以，在沒有發生事情時，本來就已經很冷漠了，只是一方出現狀況，才來求温暖，卻忽略了你們本來的命盤磁場就是如此的惡劣。"
沖局,在你的命盤中，無論伴侶是誰，你的命盤磁場都會吸引到，伴侶容易跟你起衝突。所以，你們交往後，你會覺得莫名其妙，明明小事也能鬧成大事，明明不是你的錯也能講成你犯了大錯。相處之間，容易起伏大，也比較激烈。
刑局,但是，在你的命盤中，無論伴侶是誰，你會有自尋煩惱的傾向，溝通上有苦難言，有事不説，有心結鬱悶。也有「自己折磨自己」的現象自己走不出來。可能做某些事，讓你尷尬又不知道能不能講，或是想說些什麼又講不出口的情況。就是自找麻煩，容易想太多負面，想像很多不真實的幻想，讓自己越陷越負面，所以你這種負面想法及能量，是很容易影響他想要遠離你的。這是惡的循環，你越亂想，他越離開你，你越不安。
X,你在對待伴侶方面，都會比較沒有想法，也比較隨性，沒有想太多，所以整體而言，你會比其他情侶都較為平淡，有種隨遇而安「有就好就感覺，沒有也沒差」的感覺。所以，你本來對待他就這麼平淡時，就不能比較別人跟自己的浪漫差別，「比較」只會內耗你的內心，你也沒辦要求他能給你甚麼，因為你也沒做出甚麼。這是你本身的磁場 ＝ 沒想太多、平淡安逸。
情絲（你們）,內容
合局-你們,在你們的命盤中，不管伴侶是誰，你們都會顯得比較在意、重視，也願意付出，是非常好的命盤組合。也代表說，你們會互相對這段感情付出。但是，會有一個情況出現，就是太過在意而會有逼得很緊，想要操控對方的可能，最後會讓彼此喘不過氣，也覺得身心很累，容易活到你們二人的世界裡。所以，在感情關係裡，要學會取得平衡，否則愛過頭，就會很辛苦，想分手。
害局-你們,在你們的命盤中，無論伴侶是誰，你們的對象都會比較不好溝通，多爭執，容易貌合神離，對愛情容易抱有悲觀的態度。他對你更是冷言冷語，冷漠，容易冷暴力，吵架他會更不瞅不睬，你會覺得他很無情，他對你又愛理不理。他習慣不回應你的愛，也習慣不回答你的問題，他的態度讓你很不知所措，你也總是摸不清他的喜怒哀樂，但比較明顯的是，他對你是比較常處於不滿意的狀態，他心情好的時候說不定好一些，心情不好的時候，肯定是沒有丁點愛的保留。嚴重的是，說不愛就不愛，毫無轉機，他也會很狠心地斷聯，他就是這樣的折磨你。建議，真的要幫自己破解命盤中的夫妻宮害局，做「愛情療癒組合」有用，但是直接破解會比較能夠擋住害局帶來不好的磁場，「愛情療癒組合」是增温的催情方法。如果，不去破解，你這一生的感情悲劇只會重覆發生。
沖局-你們,在你們的命盤中，無論伴侶是誰，你們的命盤磁場都會吸引到，伴侶容易跟你起衝突。所以，每一段感情在交往後，你會覺得莫名其妙，明明小事也能鬧成大事，明明不是你的錯也能講成你犯了大錯。相處之間，容易起伏大，也比較激烈。
刑局-你們,在你們的命盤中，無論伴侶是誰，你們會有自尋煩惱的傾向，溝通上有苦難言，有事不説，有心結鬱悶。也有「自己折磨自己」的現象自己走不出來。可能做某些事，讓你尷尬又不知道能不能講，或是想說些什麼又講不出口的情況。就是自找麻煩，容易想太多負面，想像很多不真實的幻想，讓自己越陷越負面，所以你們這種負面想法及能量，是很容易影響他想要遠離你的。這是惡的循環，你越亂想，他越離開你，你越不安。
X-你們,你們在對待伴侶方面，都會比較沒有想法，也比較隨性，沒有想太多，所以整體而言，你們會比其他情侶都較為平淡，有種隨遇而安「有就好就感覺，沒有也沒差」的感覺。所以，你們本來就這麼平淡時，就不能比較別人跟自己的浪漫差別，「比較」只會內耗你的內心，也磨滅他對你的耐心。
情絲（他）,內容
沖局,在他的命盤中，無論伴侶是誰，他都會容易跟伴侶起衝突。所以，你們交往後，你會覺得莫名其妙，明明小事也能鬧成大事，明明不是你的錯也能講成你犯了大錯。相處之間，容易起伏大，也比較激烈。
合局-情侶,"在他命盤中，他渴望愛，他追求愛，常常在愛情裡慾求未滿，容易來一個愛一個，除非他遇上一個很滿意的情人，才會停止到處留情。否則，他容易因為「渴望」「不滿足」而移情別戀。他習慣心裡裝著一個他重視的人，習慣愛著一個人，如果你沒有被愛的感覺，就是代表他心中還有留了一個重要位置給別人（前任/最愛的人），或許他把愛轉移到別人（第三者）身上了。同時，要注意，他會不會留戀前任/追不到的異性，容易會有放不下「最愛」的可能，或是比較容易懷念前任。
 
 當他遇到很滿意的情人，一旦投入愛河，就叫不醒他，會非常戀愛腦，事事以你為先。他會表現得非常在意你，也願意對你付出，不求回報，他也很投入這一段親密關係裡，願意配合的需求，迎合你，所以，你往往都能得到他的照顧，他對你會是像公主的對待，你有需求他都會盡可能實現，也不怕勞累。同時，他會表現出他的專情專一，通常他是非常適合愛情長跑，細水長流的愛情《他沒有，就代表你不是他最愛的那位。》"
合局-曖昧,他命盤中帶合局，無論伴侶是誰，他都會非常在意伴侶，也願意對伴侶付出，不求回報，他也很投入這一段付出愛的關係裡，他也願意配合伴侶的需求，迎合她。同時，也要注意他即使沒有固定的伴侶，也肯定是他心目中已經留有一個位置給人了，所以他才會忽略其他異性，或是他現在只想在意某一個情人。
合局-小三,"他命盤中帶合局，無論情人是誰，他都會非常在意情人，也願意對情人付出，不求回報，他也很投入這一段付出愛的關係裡，他也願意配合情人的需求，迎合她。
 
 同時，也要注意，他現在是有情人的情況之下，他再怎麼樣曖昧花心，他的心始終會回到情人上，除非他已經心死了，要尋覓下一個情人。不然，他心中其實會有一個位置留給一個「她」。"
刑局,但是，在他的命盤中，代表無論伴侶是誰，他會有自尋煩惱的傾向，溝通上有苦難言，有事不説，有心結鬱悶。可能他做某些事，讓你尷尬又不知道能不能講，或是想說些什麼又講不出口的情況。就是自找麻煩，容易想太多負面，想像很多不真實的幻想，讓自己越陷越負面，所以他這種負面想法及能量，是很容易影響你們之間的感情的，尤其是主控權在他手上時，他就顯得更惡劣，你也很難靠近他。你無法讓他開懷一些的話，你也永遠走不進他悲觀的內心。
害局,在他的命盤中，無論伴侶是誰，他都會比較不好溝通，多爭執，容易貌合神離，對愛情容易抱有悲觀的態度。他對你更是冷言冷語，冷漠，容易冷暴力，吵架他會更不瞅不睬，你會覺得他很無情，他對你又愛理不理。他習慣不回應你的愛，也習慣不回答你的問題，他的態度讓你很不知所措，你也總是摸不清他的喜怒哀樂，但比較明顯的是，他對你是比較常處於不滿意的狀態，他心情好的時候說不定好一些，心情不好的時候，肯定是沒有丁點愛的保留。嚴重的是，說不愛就不愛，毫無轉機，他也會很狠心地斷聯，他就是這樣的折磨你。建議，真的要幫他破解命盤中的夫妻害局，做桃花供有用，但是直接破解會比較能夠擋住他對你不好的磁場，桃花供是增温的催情方法。如果，不去破解，就會持續被冷暴力對待。
X,而他，在對待伴侶方面，都會比較沒有想法，也比較隨性，沒有想太多，所以整體而言，他的態度會比起其他異性都較為平淡，沒有把對方的要求或期待放在心上，所以在愛情上會顯得比較遲鈍沒心思，這些都是命盤的影響，不能拿作他不喜歡你的理由。你也要學會愛自己，才能引導他學習愛你的方式，不然他只會沒有想法，而你郤一直懷疑他，所以不要過度求他愛你，你要先愛自己，他才懂得愛你。
情趣,內容
害局- 分手,"在你們的情趣交流上，情趣生活會比較不好溝通，多爭執，容易貌合神離，冷感，容易有負面想法，尤其是他對你會比較明顯。你們情話方面，會容易感到不滿意，或不夠滿意，即使溝通好也沒辦法做到有默契。情話不多，酸言酸語，幹話會比較多，自己聽了會不舒服。而且，你們也容易出現變卦，說喜歡就喜歡，不喜歡就消失。甚至會有互看不順眼的時候，有發生過關係，也有可能單方面覺得床事不合，沒辦法有情慾的感覺。或是，有床事的需求時，其中一方不配合，過程不滿足，不舒服。萬一遇上一個，能激發起你們情慾的人，就會容易出軌外遇，才會有「正宮床上功夫不好而不滿足」「小三讓我好舒服而不想離開」的情況，嚴重會有不能離開第三者的可能，因為第三者能滿足你們的胃口。
 
 所以，即使復合也不會有甜蜜的感覺，也不能用情趣去彌補你們之間的感情。"
害局- 情侶,"在你們的情趣交流上，情趣生活會比較不好溝通，多爭執，容易貌合神離，冷感，容易有負面想法，尤其是他對你會比較明顯。你們情話方面，會容易感到不滿意，或不夠滿意，即使溝通好也沒辦法做到有默契。情話不多，酸言酸語，幹話會比較多，自己聽了會不舒服。而且，你們也容易出現變卦，說喜歡就喜歡，不喜歡就消失。甚至會有互看不順眼的時候，有發生過關係，也有可能單方面覺得床事不合，沒辦法有情慾的感覺。或是，有床事的需求時，其中一方不配合，過程不滿足，不舒服。萬一遇上一個，能激發起你們情慾的人，就會容易出軌外遇，才會有「正宮床上功夫不好而不滿足」「小三讓我好舒服而不想離開」的情況，嚴重會有不能離開第三者的可能，因為第三者能滿足你們的胃口。
 
 所以，即使和好也不會有甜蜜的感覺，也不能用情趣去彌補你們之間的感情。"
害局- 曖昧,"在你們的情趣交流上，情趣生活會比較不好溝通，多爭執，容易貌合神離，冷感，容易有負面想法，尤其是他對你會比較明顯。你們情話方面，會容易感到不滿意，或不夠滿意，即使溝通好也沒辦法做到有默契。情話不多，酸言酸語，幹話會比較多，自己聽了會不舒服。而且，你們也容易出現變卦，說喜歡就喜歡，不喜歡就消失。甚至會有互看不順眼的時候，有發生過關係，也有可能單方面覺得床事不合，沒辦法有情慾的感覺。
 
 所以，即使和好也不會有甜蜜的感覺，也不能用情趣去彌補你們之間的感情。"
同氣 - 任何,在你們的情趣上，是有很特別的狀況，交往前「無話不說」，交往後「無話可說」，意思就是你們會因為一開始太好聊了，所以覺得彼此都有意思，也覺得很有默契，好像是天注定一樣，你們也覺得對方跟自己一樣，很同頻，是同類。但是，交往後，就是因為太一樣了，沒有互補的感覺，長期下來會理所然地覺得對方會懂，就沒有去表達或行動。最後，因為太熟悉對方，沒有新鮮感，也沒有互補的作用，就會變成「因為太了解對方，才會分手」的情況。
沖局-情侶,"在你們的情趣上，你們之間的溝通上比較有火花，有好也有壞，好的話就是讓彼此意想不到，可能會有新鮮感。壞的話，就是可能太過突兀而感到受打擊，不懂得接情話，顯得尷尬。或是，你們對床事有爭吵的時候，或容易對彼此有意見。如果，沒有打算生小孩，或未婚，建議要小心做好安全措施，否則緣份不足還是會有「先懷有小孩再結婚」的情況，婚後愛情基礎不足而常常吵架，最後分手離婚。所以，會結婚也不一定是姻緣終點站，也有可能是意外結婚。
 
 同時，就算不和，在表面上關係好，但是一旦回到家就會開始吵架，也會在家裡吵架，也比較常意見不合。
 
 建議，你要勾起他心中的慾望，盡可能滿足他的刺激感，不宜保守矜持，你可以多穿性感的衣服引誘他，多以曖昧情色的話題讓他對你有興趣，要注意有機會是，緣份不足，會把你當成炮友。"
沖局-曖昧,"在你們的情趣上，你們之間的溝通上比較有火花，有好也有壞，好的話就是讓彼此意想不到，可能會有新鮮感。壞的話，就是可能太過突兀而感到受打擊，不懂得接情話，顯得尷尬。或是，你們對床事有爭吵的時候，或容易對彼此有意見。如果，沒有打算生小孩，或未婚，建議要小心做好安全措施，否則緣份不足還是會有「先懷有小孩再結婚」的情況，婚後愛情基礎不足而常常吵架，最後分手離婚。所以，會結婚也不一定是姻緣終點站，也有可能是意外結婚。
 
 建議，你要勾起他心中的慾望，盡可能滿足他的刺激感，不宜保守矜持，你可以多穿性感的衣服引誘他，多以曖昧情色的話題讓他對你有興趣，要注意有機會是，緣份不足，會把你當成炮友。"
合局-情侶,"在你們的情趣中，你們其實也蠻喜歡調情，聽懂對方的甜言蜜語，也有默契。大家也投入這份交流上，情投意合。你們的床事也比較有默契，說明你們其實很歡愉，講情話雙方都覺得很心醉又甜，床事好溝通，好配合，情話不嫌多，因為都全盤接收，也能接話，互相甜言蜜語，粉紅泡泡。所以，有事吵架，麻煩用情趣解決，會馬上和好，對方要求就不要拒絕，對他來說，「性」就是原諒的一種。
 
 所以，建議你重拾一下，或是重頭來過，以曖昧情話，或是以你已知他的情慾點作切入，讓他重新再看上你一眼。但是，如果他沒心愛你，你還是會淪為「炮友」的角色。建議，多以情慾話題來勾起他的興趣，見面時，可以多有身體接觸，容易情到濃時失控。簡單的方法，就是以「逗他開心」為主軸，多主動情攻，他就會被你弄得心癢癢。"
合局-炮友,"在你們的情趣中，你們其實也蠻喜歡調情，聽懂對方的甜言蜜語，也有默契。大家也投入這份交流上，情投意合。你們的床事也比較有默契，說明你們其實很歡愉，講情話雙方都覺得很心醉又甜，床事好溝通，好配合，情話不嫌多，因為都全盤接收，也能接話，互相甜言蜜語，粉紅泡泡。
 
 所以，你們主要就是肉體歡愉的關係，性慾能夠讓他滿足。如果只有性慾，沒有生活共識及相處上的平衡，很大機會就變成他的「床上玩具」。"
合局-曖昧,"在你們的情趣中，你們其實也好溝通，互相配合，也有默契。大家也投入這份交流上，情投意合。所以，你們一旦有了曖昧的對話，就會很快陷進氣圍了，也很享受曖昧的行為及言語。在情話間，互相聽懂對方的甜言蜜語，也覺得很對胃口，他說什麼都能笑，自己也聽得開心，他也會懂得逗自己開心，在旁人眼裡，可能只是很普通的說話，但是你們雙方都覺得很甜，很曖昧，只有你們兩個懂。情話不嫌多，因為都全盤接收，也能接話，互相甜言蜜語，大家都享受著曖昧的粉紅泡泡裡。
 
 建議，多以情慾話題來勾起他的興趣，見面時，可以多有身體接觸，容易情到濃時失控。簡單的方法，就是以「逗他開心」為主軸，多主動情攻，他就會被你弄得心癢癢。"
刑局,"在你們的情趣上，你們在情趣上有說不出口，容易有尷尬感覺，沒辦法暢所欲言，避而不談，總沒辦法衝破關係。浪漫氣氛來了，也會讓彼此尷尬，也往往容易破壞了氣氛。也代表你們在表明心意這方面都有難以開口的感覺，不知道要不要跟對方說，常常有話說不出口，就這樣在心裡一點一點的累積，終究也是拖拖拉拉，雙方都不表態，怎麼相親相愛呢？有時候，在甜言蜜語上沒有共識，就會容易覺得對方不喜歡自己才不浪漫熱情，對現階段的戀愛關係抱著「他隨時離開我」的想法，其實就是刑局所帶來的胡思亂想而自卑沒自信，才更加不敢說出口。自己的負面思想想法比較多，認為自己不夠好，自己越愛他、不捨得他就會越卑微，他就會越冷淡冷漠。
 
 建議，少用言語調情，多加重房間氣氛的怖置，例如音樂、蠟燭、暗燈等等，都能代替你們說出尷尬的話。多利用搞笑愛情影片、情歌來表達你的感受。建議，當發現自己開始被他影響時，就要懂得調整自己的心境，嘗試學會平靜，聽療癒的音樂。否則，你們會陷入悲觀裡，彼此也不舒服。"
X-分手,"你們在情趣上也比較沒有火花及交集。代表著，你們難以有進一步的發展，停滯不前。你們在情趣上沒有交集，代表他的情趣你不懂，你的情趣他不懂，常常交錯。最重要是，你沒辦法激起他的情慾需求，他覺得跟你上床會比較無聊，或是過於平淡，無法被滿足。所以，你們也比較難有甜蜜的時候。你覺得穩定平淡，因為根本沒有火花。萬一遇上一個，能激發起你們情慾的人，就會容易出軌外遇，嚴重會有不能離開第三者的可能，因為第三者能滿足你們的胃口。
 
 所以，即使復合也不會有甜蜜的感覺，也不能用情趣去彌補你們之間的感情。
 
 在整體合盤來說，你們會比較像朋友的相處，少了愛情的火花，也少有激情的部分，容易會因為沒有新鮮感而離開。"
X-曖昧,你們在情趣上沒有交集，代表他的情趣你聽不懂，你的情趣他也搞不懂，常常沒辦法激發到最強烈的愛情火花。所以，你們也比較難有甜蜜的時候。而且，你們一句兩句就中止話題，接不下去，想浪漫，又催不起來，卡在那邊，晾著晾著就新鮮感也沒了。
X-情侶,"你們在情趣上沒有交集，代表他的情趣你不懂，你的情趣他不懂，常常交錯。所以，你們也比較難有甜蜜的時候。而且，你們難以有甜蜜的時候，可以一句兩句就中止話題，接不下去，想恩愛又浪漫不起來，卡在那邊，晾著晾著就新鮮感也沒了。你們適合過著平淡的婚姻生活，但如果其中一方「拿其他情侶夫妻」來比較自己的平淡生活，很容易造成「負面內耗」，不是平淡了沒新鮮感就等於沒愛情，而是你想得到的太多，以為沒有愛情了。
 
 在整體合盤來說，你們會比較像朋友的相處，少了愛情的火花，也少有激情的部分，容易會因為沒有新鮮感而離開。"
相處,內容
害局-曖昧1,"在你們的相處中，做朋友的時候已經會比較不好溝通，容易貌合神離，容易想錯方向，聊天說錯話不懂收場，尤其是他對你會比較明顯。感情關係也容易產生變卦，也有可能就是彼此也比較冷漠對待。你們在溝通上，也難以有一個明確的結論，也容易誤會彼此，也無法理解彼此，常常都是聊到後面變成沉默，聊不下去。他對於你提出的方法或話題，都是愛回不回，有時候比較有意見，有時候就完全不想參與或表達。
 
 建議，發現開始沒辦法達成共識時，就先停下來。硬聊，只會脫離主題，變成不愉快的聊天，會破解感情基礎。你更加要學會跟他相處的方法「🌹如何讓他更愛你？」。因為，你想要他懂得你的好，請先讓他得到滿足，他開心，自然看上你的好。否則，你繼續用自以為是的方法，你也不會得到任何東西，你只會失去更多。"
害局-情侶1,"在你們的相處中，會比較不好溝通，多爭執，容易貌合神離，聚少離多，容易悲觀，尤其是他對你會比較明顯。感情關係也容易產生變卦，也有可能就是彼此也比較冷漠對待。你們在溝通上，也難以有一個明確的結論，容易吵架，也容易誤會彼此，也無法理解彼此，常常都是聊到後面變成吵架。他對於你提出的方法或話題，都是愛回不回，有時候比較有意見，有時候就完全不想參與或表達。交往後期，會容易多疑、心底容易冒出性格不合的念頭，例如會懷疑對方，一起做抉擇時會意見不一致。
 
 建議，發現開始沒辦法達成共識時，就先停下來。持續爭議下去，只會脫離主題，變成情緒旳抗爭。你更加要學會跟他相處的方法「🌹如何成為他心目中的人？」。因為，你想要他聽你的命令，請先讓他得到滿足，他開心，自然願意做。否則，你繼續用自以為是的方法，你也不會得到任何東西，你只會失去更多。"
同氣-任何1,在你們的相處上，是有很特別的狀況，交往前「無話不說」，交往後「無話可說」，意思就是你們會因為一開始太好聊了，所以覺得彼此都有意思，也覺得很有默契，好像是天注定一樣，你們也覺得對方跟自己一樣，很同頻，是同類。但是，交往後，就是因為太一樣了，沒有互補的感覺，長期下來會理所然地覺得對方會懂，就沒有去表達或行動。最後，因為太熟悉對方，沒有新鮮感，也沒有互補的作用，就會變成「因為太了解對方，才會分手」的情況。
沖局-情侶1,在你們的相處上，你們之間的溝通上比較有火花，有好也有壞，好的話就是讓彼此意想不到，可能會有新鮮感。壞的話，就是可能太過突兀而感到受打擊，來不及反應，聽懂就會反擊。或是，你們對生活的期待不一樣，容易有爭吵的時候，或容易對彼此有意見。
沖局-曖昧12,在你們的相處上，你們之間的溝通上比較有火花，有好也有壞，好的話就是讓彼此意想不到，可能會有新鮮感。壞的話，就是可能太過突兀而感到受打擊。也有爭吵的時候，或容易對彼此有意見。容易起衝突，彼此會覺得莫名其妙，明明小事也能鬧成大事，明明不是自己的錯也能講成犯了大錯。相處之間，容易起伏大，也比較激烈。關係緊張，很大部份的意見都是對立的，互不相讓。
